"Order","Family","sci_name","common_name","ebird_data","is_resident","why"
"ACCIPITRIFORMES"," Accipitridae","Astur atricapillus","American Goshawk","yes",FALSE,""
"ACCIPITRIFORMES"," Accipitridae","Haliaeetus leucocephalus","Bald Eagle","yes",FALSE,""
"ACCIPITRIFORMES"," Accipitridae","Buteo platypterus","Broad-winged Hawk","yes",FALSE,"uncommon breeder and migrant"
"ACCIPITRIFORMES"," Accipitridae","Astur cooperii","Cooper's Hawk","yes",FALSE,""
"ACCIPITRIFORMES"," Accipitridae","Aquila chrysaetos","Golden Eagle","yes",FALSE,""
"ACCIPITRIFORMES"," Accipitridae","Circus hudsonius","Northern Harrier","yes",FALSE,""
"ACCIPITRIFORMES"," Pandionidae","Pandion haliaetus","Osprey","yes",FALSE,""
"ACCIPITRIFORMES"," Accipitridae","Buteo jamaicensis","Red-tailed Hawk","yes",FALSE,""
"ACCIPITRIFORMES"," Accipitridae","Buteo lagopus","Rough-legged Hawk","yes",FALSE,""
"ACCIPITRIFORMES"," Accipitridae","Accipiter striatus","Sharp-shinned Hawk","yes",FALSE,""
"ACCIPITRIFORMES"," Accipitridae","Buteo swainsoni","Swainson's Hawk","yes",FALSE,""
"ANSERIFORMES"," Anatidae","Mareca americana","American Wigeon","yes",FALSE,""
"ANSERIFORMES"," Anatidae","Bucephala islandica","Barrow's Goldeneye","yes",FALSE,""
"ANSERIFORMES"," Anatidae","Melanitta americana","Black Scoter","yes",FALSE,""
"ANSERIFORMES"," Anatidae","Spatula discors","Blue-winged Teal","yes",FALSE,""
"ANSERIFORMES"," Anatidae","Branta bernicla","Brant","yes",FALSE,""
"ANSERIFORMES"," Anatidae","Bucephala albeola","Bufflehead","yes",FALSE,""
"ANSERIFORMES"," Anatidae","Branta hutchinsii","Cackling Goose","yes",FALSE,"possible breeder, regular migrant and non-breeding "
"ANSERIFORMES"," Anatidae","Branta canadensis","Canada Goose","yes",FALSE,""
"ANSERIFORMES"," Anatidae","Aythya valisineria","Canvasback","yes",FALSE,""
"ANSERIFORMES"," Anatidae","Spatula cyanoptera","Cinnamon Teal","yes",FALSE,""
"ANSERIFORMES"," Anatidae","Bucephala clangula","Common Goldeneye","yes",FALSE,""
"ANSERIFORMES"," Anatidae","Mergus merganser","Common Merganser","yes",FALSE,""
"ANSERIFORMES"," Anatidae","Mareca penelope","Eurasian Wigeon","yes",FALSE,""
"ANSERIFORMES"," Anatidae","Mareca strepera","Gadwall","yes",FALSE,""
"ANSERIFORMES"," Anatidae","Aythya marila","Greater Scaup","yes",FALSE,"regular wintering"
"ANSERIFORMES"," Anatidae","Anser albifrons","Greater White-fronted Goose","yes",FALSE,""
"ANSERIFORMES"," Anatidae","Anas crecca","Green-winged Teal","yes",FALSE,""
"ANSERIFORMES"," Anatidae","Histrionicus histrionicus","Harlequin Duck","yes",FALSE,""
"ANSERIFORMES"," Anatidae","Lophodytes cucullatus","Hooded Merganser","yes",FALSE,""
"ANSERIFORMES"," Anatidae","Aythya affinis","Lesser Scaup","yes",FALSE,""
"ANSERIFORMES"," Anatidae","Clangula hyemalis","Long-tailed Duck","yes",FALSE,""
"ANSERIFORMES"," Anatidae","Anas platyrhynchos","Mallard","yes",FALSE,""
"ANSERIFORMES"," Anatidae","Anas acuta","Northern Pintail","yes",FALSE,""
"ANSERIFORMES"," Anatidae","Spatula clypeata","Northern Shoveler","yes",FALSE,""
"ANSERIFORMES"," Anatidae","Mergus serrator","Red-breasted Merganser","yes",FALSE,""
"ANSERIFORMES"," Anatidae","Aythya americana","Redhead","yes",FALSE,""
"ANSERIFORMES"," Anatidae","Aythya collaris","Ring-necked Duck","yes",FALSE,""
"ANSERIFORMES"," Anatidae","Anser rossii","Ross's Goose","yes",FALSE,""
"ANSERIFORMES"," Anatidae","Oxyura jamaicensis","Ruddy Duck","yes",FALSE,""
"ANSERIFORMES"," Anatidae","Anser caerulescens","Snow Goose","yes",FALSE,""
"ANSERIFORMES"," Anatidae","Melanitta perspicillata","Surf Scoter","yes",FALSE,""
"ANSERIFORMES"," Anatidae","Cygnus buccinator","Trumpeter Swan","yes",FALSE,""
"ANSERIFORMES"," Anatidae","Cygnus columbianus","Tundra Swan","yes",FALSE,""
"ANSERIFORMES"," Anatidae","Melanitta deglandi","White-winged Scoter","yes",FALSE,""
"ANSERIFORMES"," Anatidae","Aix sponsa","Wood Duck","yes",FALSE,""
"APODIFORMES"," Trochilidae","Calypte anna","Anna's Hummingbird","yes",FALSE,""
"APODIFORMES"," Apodidae","Cypseloides niger","Black Swift","yes",FALSE,""
"APODIFORMES"," Trochilidae","Archilochus alexandri","Black-chinned Hummingbird","yes",FALSE,""
"APODIFORMES"," Trochilidae","Selasphorus calliope","Calliope Hummingbird","yes",FALSE,""
"APODIFORMES"," Trochilidae","Archilochus colubris","Ruby-throated Hummingbird","yes",FALSE,"uncommon but regular in Peace regions"
"APODIFORMES"," Trochilidae","Selasphorus rufus","Rufous Hummingbird","yes",FALSE,""
"APODIFORMES"," Apodidae","Chaetura vauxi","Vaux's Swift","yes",FALSE,""
"APODIFORMES"," Apodidae","Aeronautes saxatalis","White-throated Swift","yes",FALSE,""
"CAPRIMULGIFORMES"," Caprimulgidae","Chordeiles minor","Common Nighthawk","yes",FALSE,""
"CAPRIMULGIFORMES"," Caprimulgidae","Phalaenoptilus nuttallii","Common Poorwill","yes",FALSE,""
"CATHARTIFORMES"," Cathartidae","Cathartes aura","Turkey Vulture","yes",FALSE,""
"CHARADRIIFORMES"," Recurvirostridae","Recurvirostra americana","American Avocet","yes",FALSE,""
"CHARADRIIFORMES"," Charadriidae","Pluvialis dominica","American Golden-Plover","yes",FALSE,""
"CHARADRIIFORMES"," Laridae","Larus smithsonianus","American Herring Gull","yes",FALSE,""
"CHARADRIIFORMES"," Alcidae","Synthliboramphus antiquus","Ancient Murrelet","yes",FALSE,""
"CHARADRIIFORMES"," Laridae","Sterna paradisaea","Arctic Tern","yes",FALSE,""
"CHARADRIIFORMES"," Scolopacidae","Calidris bairdii","Baird's Sandpiper","yes",FALSE,""
"CHARADRIIFORMES"," Scolopacidae","Limosa lapponica","Bar-tailed Godwit","yes",FALSE,"regular but uncommon migrant"
"CHARADRIIFORMES"," Haematopodidae","Haematopus bachmani","Black Oystercatcher","yes",TRUE,""
"CHARADRIIFORMES"," Laridae","Chlidonias niger","Black Tern","yes",FALSE,""
"CHARADRIIFORMES"," Scolopacidae","Arenaria melanocephala","Black Turnstone","yes",FALSE,""
"CHARADRIIFORMES"," Charadriidae","Pluvialis squatarola","Black-bellied Plover","yes",FALSE,""
"CHARADRIIFORMES"," Laridae","Rissa tridactyla","Black-legged Kittiwake","yes",FALSE,""
"CHARADRIIFORMES"," Recurvirostridae","Himantopus mexicanus","Black-necked Stilt","yes",FALSE,"uncommon breeder in interior, with increasing records"
"CHARADRIIFORMES"," Laridae","Chroicocephalus philadelphia","Bonaparte's Gull","yes",FALSE,""
"CHARADRIIFORMES"," Scolopacidae","Calidris subruficollis","Buff-breasted Sandpiper","yes",FALSE,""
"CHARADRIIFORMES"," Laridae","Larus californicus","California Gull","yes",FALSE,""
"CHARADRIIFORMES"," Laridae","Hydroprogne caspia","Caspian Tern","yes",FALSE,""
"CHARADRIIFORMES"," Alcidae","Ptychoramphus aleuticus","Cassin's Auklet","yes",FALSE,""
"CHARADRIIFORMES"," Alcidae","Uria aalge","Common Murre","yes",FALSE,""
"CHARADRIIFORMES"," Laridae","Sterna hirundo","Common Tern","yes",FALSE,""
"CHARADRIIFORMES"," Scolopacidae","Calidris ferruginea","Curlew Sandpiper","yes",FALSE,"regular but uncommon migrant"
"CHARADRIIFORMES"," Scolopacidae","Calidris alpina","Dunlin","yes",FALSE,""
"CHARADRIIFORMES"," Laridae","Sterna forsteri","Forster's Tern","yes",FALSE,""
"CHARADRIIFORMES"," Laridae","Leucophaeus pipixcan","Franklin's Gull","yes",FALSE,""
"CHARADRIIFORMES"," Laridae","Larus hyperboreus","Glaucous Gull","yes",FALSE,""
"CHARADRIIFORMES"," Laridae","Larus glaucescens","Glaucous-winged Gull","yes",FALSE,""
"CHARADRIIFORMES"," Scolopacidae","Tringa melanoleuca","Greater Yellowlegs","yes",FALSE,""
"CHARADRIIFORMES"," Laridae","Larus heermanni","Heermann's Gull","yes",FALSE,""
"CHARADRIIFORMES"," Alcidae","Fratercula corniculata","Horned Puffin","yes",FALSE,""
"CHARADRIIFORMES"," Scolopacidae","Limosa haemastica","Hudsonian Godwit","yes",FALSE,""
"CHARADRIIFORMES"," Laridae","Larus glaucoides","Iceland Gull","yes",FALSE,""
"CHARADRIIFORMES"," Charadriidae","Charadrius vociferus","Killdeer","yes",FALSE,""
"CHARADRIIFORMES"," Scolopacidae","Calidris minutilla","Least Sandpiper","yes",FALSE,""
"CHARADRIIFORMES"," Scolopacidae","Tringa flavipes","Lesser Yellowlegs","yes",FALSE,""
"CHARADRIIFORMES"," Scolopacidae","Calidris minuta","Little Stint","yes",FALSE,"regular but uncommon migrant"
"CHARADRIIFORMES"," Scolopacidae","Numenius americanus","Long-billed Curlew","yes",FALSE,""
"CHARADRIIFORMES"," Scolopacidae","Limnodromus scolopaceus","Long-billed Dowitcher","yes",FALSE,""
"CHARADRIIFORMES"," Stercorariidae","Stercorarius longicaudus","Long-tailed Jaeger","yes",FALSE,""
"CHARADRIIFORMES"," Scolopacidae","Limosa fedoa","Marbled Godwit","yes",FALSE,""
"CHARADRIIFORMES"," Alcidae","Brachyramphus marmoratus","Marbled Murrelet","yes",TRUE,""
"CHARADRIIFORMES"," Charadriidae","Pluvialis fulva","Pacific Golden-Plover","yes",FALSE,""
"CHARADRIIFORMES"," Alcidae","Aethia psittacula","Parakeet Auklet","yes",FALSE,"regular wintering, but poorly understood"
"CHARADRIIFORMES"," Scolopacidae","Calidris melanotos","Pectoral Sandpiper","yes",FALSE,""
"CHARADRIIFORMES"," Alcidae","Cepphus columba","Pigeon Guillemot","yes",FALSE,""
"CHARADRIIFORMES"," Stercorariidae","Stercorarius pomarinus","Pomarine Jaeger","yes",FALSE,""
"CHARADRIIFORMES"," Scolopacidae","Calidris canutus","Red Knot","yes",FALSE,""
"CHARADRIIFORMES"," Scolopacidae","Phalaropus fulicarius","Red Phalarope","yes",FALSE,""
"CHARADRIIFORMES"," Scolopacidae","Phalaropus lobatus","Red-necked Phalarope","yes",FALSE,""
"CHARADRIIFORMES"," Scolopacidae","Calidris ruficollis","Red-necked Stint","yes",FALSE,"regular but uncommon migrant"
"CHARADRIIFORMES"," Alcidae","Cerorhinca monocerata","Rhinoceros Auklet","yes",FALSE,""
"CHARADRIIFORMES"," Laridae","Larus delawarensis","Ring-billed Gull","yes",FALSE,""
"CHARADRIIFORMES"," Scolopacidae","Calidris ptilocnemis","Rock Sandpiper","yes",FALSE,""
"CHARADRIIFORMES"," Scolopacidae","Arenaria interpres","Ruddy Turnstone","yes",FALSE,""
"CHARADRIIFORMES"," Scolopacidae","Calidris pugnax","Ruff","yes",FALSE,"regular but uncommon migrant"
"CHARADRIIFORMES"," Laridae","Xema sabini","Sabine's Gull","yes",FALSE,""
"CHARADRIIFORMES"," Scolopacidae","Calidris alba","Sanderling","yes",FALSE,""
"CHARADRIIFORMES"," Charadriidae","Charadrius semipalmatus","Semipalmated Plover","yes",FALSE,""
"CHARADRIIFORMES"," Scolopacidae","Calidris pusilla","Semipalmated Sandpiper","yes",FALSE,""
"CHARADRIIFORMES"," Scolopacidae","Calidris acuminata","Sharp-tailed Sandpiper","yes",FALSE,""
"CHARADRIIFORMES"," Scolopacidae","Limnodromus griseus","Short-billed Dowitcher","yes",FALSE,""
"CHARADRIIFORMES"," Laridae","Larus brachyrhynchus","Short-billed Gull","yes",FALSE,""
"CHARADRIIFORMES"," Scolopacidae","Tringa solitaria","Solitary Sandpiper","yes",FALSE,""
"CHARADRIIFORMES"," Stercorariidae","Stercorarius maccormicki","South Polar Skua","yes",FALSE,""
"CHARADRIIFORMES"," Scolopacidae","Actitis macularius","Spotted Sandpiper","yes",FALSE,""
"CHARADRIIFORMES"," Scolopacidae","Calidris himantopus","Stilt Sandpiper","yes",FALSE,""
"CHARADRIIFORMES"," Scolopacidae","Calidris virgata","Surfbird","yes",FALSE,""
"CHARADRIIFORMES"," Alcidae","Uria lomvia","Thick-billed Murre","yes",FALSE,"uncommon breeder"
"CHARADRIIFORMES"," Alcidae","Fratercula cirrhata","Tufted Puffin","yes",FALSE,""
"CHARADRIIFORMES"," Scolopacidae","Bartramia longicauda","Upland Sandpiper","yes",FALSE,""
"CHARADRIIFORMES"," Scolopacidae","Tringa incana","Wandering Tattler","yes",FALSE,""
"CHARADRIIFORMES"," Laridae","Larus occidentalis","Western Gull","yes",FALSE,""
"CHARADRIIFORMES"," Scolopacidae","Calidris mauri","Western Sandpiper","yes",FALSE,""
"CHARADRIIFORMES"," Scolopacidae","Numenius phaeopus","Hudsonian Whimbrel","no",NA,"regular migrant, and increasingly wintering"
"CHARADRIIFORMES"," Scolopacidae","Calidris fuscicollis","White-rumped Sandpiper","yes",FALSE,"regular migrant in some parts of BC"
"CHARADRIIFORMES"," Scolopacidae","Tringa semipalmata","Willet","yes",FALSE,"regular migrant, occaisonal overwintering"
"CHARADRIIFORMES"," Scolopacidae","Phalaropus tricolor","Wilson's Phalarope","yes",FALSE,""
"CHARADRIIFORMES"," Scolopacidae","Gallinago delicata","Wilson's Snipe","yes",FALSE,""
"COLUMBIFORMES"," Columbidae","Patagioenas fasciata","Band-tailed Pigeon","yes",FALSE,""
"COLUMBIFORMES"," Columbidae","Zenaida macroura","Mourning Dove","yes",FALSE,""
"CORACIIFORMES"," Alcedinidae","Megaceryle alcyon","Belted Kingfisher","yes",FALSE,""
"FALCONIFORMES"," Falconidae","Falco sparverius","American Kestrel","yes",FALSE,""
"FALCONIFORMES"," Falconidae","Falco rusticolus","Gyrfalcon","no",NA,""
"FALCONIFORMES"," Falconidae","Falco columbarius","Merlin","yes",FALSE,""
"FALCONIFORMES"," Falconidae","Falco peregrinus","Peregrine Falcon","yes",FALSE,""
"FALCONIFORMES"," Falconidae","Falco mexicanus","Prairie Falcon","yes",FALSE,""
"GALLIFORMES","Phasianidae","Dendragapus obscurus","Dusky Grouse","yes",TRUE,""
"GALLIFORMES","Phasianidae","Lagopus muta","Rock Ptarmigan","yes",TRUE,""
"GALLIFORMES","Phasianidae","Bonasa umbellus","Ruffed Grouse","yes",TRUE,""
"GALLIFORMES","Phasianidae","Tympanuchus phasianellus","Sharp-tailed Grouse","yes",TRUE,""
"GALLIFORMES","Phasianidae","Dendragapus fuliginosus","Sooty Grouse","yes",TRUE,""
"GALLIFORMES","Phasianidae","Canachites canadensis","Spruce Grouse","yes",TRUE,""
"GALLIFORMES","Phasianidae","Lagopus leucura","White-tailed Ptarmigan","yes",TRUE,""
"GALLIFORMES","Phasianidae","Lagopus lagopus","Willow Ptarmigan","yes",FALSE,""
"GAVIIFORMES"," Gaviidae","Gavia immer","Common Loon","yes",FALSE,""
"GAVIIFORMES"," Gaviidae","Gavia pacifica","Pacific Loon","yes",FALSE,""
"GAVIIFORMES"," Gaviidae","Gavia stellata","Red-throated Loon","yes",FALSE,""
"GAVIIFORMES"," Gaviidae","Gavia adamsii","Yellow-billed Loon","yes",FALSE,""
"GRUIFORMES"," Rallidae","Fulica americana","American Coot","yes",FALSE,""
"GRUIFORMES"," Gruidae","Antigone canadensis","Sandhill Crane","yes",FALSE,""
"GRUIFORMES"," Rallidae","Porzana carolina","Sora","yes",FALSE,""
"GRUIFORMES"," Rallidae","Rallus limicola","Virginia Rail","yes",FALSE,""
"GRUIFORMES"," Rallidae","Coturnicops noveboracensis","Yellow Rail","yes",FALSE,""
"PASSERIFORMES"," Tyrannidae","Empidonax alnorum","Alder Flycatcher","yes",FALSE,""
"PASSERIFORMES"," Corvidae","Corvus brachyrhynchos","American Crow","yes",FALSE,""
"PASSERIFORMES"," Cinclidae","Cinclus mexicanus","American Dipper","yes",TRUE,""
"PASSERIFORMES"," Fringillidae","Spinus tristis","American Goldfinch","yes",FALSE,""
"PASSERIFORMES"," Motacillidae","Anthus rubescens","American Pipit","yes",FALSE,""
"PASSERIFORMES"," Parulidae","Setophaga ruticilla","American Redstart","yes",FALSE,""
"PASSERIFORMES"," Turdidae","Turdus migratorius","American Robin","yes",FALSE,""
"PASSERIFORMES"," Passerellidae","Spizelloides arborea","American Tree Sparrow","yes",FALSE,""
"PASSERIFORMES"," Icteridae","Icterus galbula","Baltimore Oriole","yes",FALSE,""
"PASSERIFORMES"," Hirundinidae","Riparia riparia","Bank Swallow","yes",FALSE,""
"PASSERIFORMES"," Hirundinidae","Hirundo rustica","Barn Swallow","yes",FALSE,""
"PASSERIFORMES"," Parulidae","Setophaga castanea","Bay-breasted Warbler","yes",FALSE,""
"PASSERIFORMES"," Troglodytidae","Thryomanes bewickii","Bewick's Wren","yes",FALSE,""
"PASSERIFORMES"," Parulidae","Mniotilta varia","Black-and-white Warbler","yes",FALSE,""
"PASSERIFORMES"," Corvidae","Pica hudsonia","Black-billed Magpie","yes",TRUE,""
"PASSERIFORMES"," Paridae","Poecile atricapillus","Black-capped Chickadee","yes",TRUE,""
"PASSERIFORMES"," Cardinalidae","Pheucticus melanocephalus","Black-headed Grosbeak","yes",FALSE,""
